dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2021-08-22,970.547,500,Cal,0,0,53,30,18,10
2021-08-23,795.43,500,Cal,0,0,49,30,18,10
2021-08-24,817.61,500,Cal,0,0,30,30,17,10
2021-08-25,779.433,500,Cal,0,0,47,30,16,10
2021-08-26,734.59,500,Cal,0,0,29,30,16,10
2021-08-27,721.694,500,Cal,0,0,24,30,16,10
2021-08-28,813.441,500,Cal,0,0,42,30,16,10
2021-08-29,733.188,500,Cal,0,0,54,30,18,10
2021-08-30,909.339,500,Cal,0,0,63,30,17,10
2021-08-31,765.697,500,Cal,0,0,48,30,16,10
2021-09-01,839.01,500,Cal,0,0,52,30,18,10
2021-09-02,819.393,500,Cal,0,0,50,30,18,10
2021-09-03,693.655,500,Cal,0,0,45,30,19,10
2021-09-04,930.267,500,Cal,0,0,66,30,18,10
2021-09-05,1148.52,500,Cal,0,0,107,30,14,10
2021-09-06,955.555,500,Cal,0,0,33,30,16,10
2021-09-07,783.372,500,Cal,0,0,55,30,17,10
2021-09-08,847.267,500,Cal,0,0,40,30,17,10
2021-09-09,777.197,500,Cal,0,0,42,30,19,10
2021-09-10,779.546,500,Cal,0,0,32,30,15,10
2021-09-11,1039.31,500,Cal,0,0,53,30,16,10
2021-09-12,919.425,500,Cal,0,0,78,30,19,10
2021-09-13,897.785,500,Cal,0,0,42,30,18,10
2021-09-14,670.1,500,Cal,0,0,25,30,18,10
2021-09-15,707.396,500,Cal,0,0,31,30,14,10
2021-09-16,741.432,500,Cal,0,0,28,30,18,10
2021-09-17,798.721,500,Cal,0,0,53,30,17,10
2021-09-18,1122.88,500,Cal,0,0,56,30,16,10
2021-09-19,708.904,500,Cal,0,0,49,30,17,10
2021-09-20,1019.8,500,Cal,0,0,83,30,19,10
2021-09-21,740.421,500,Cal,0,0,50,30,17,10
2021-09-22,767.926,500,Cal,0,0,23,30,19,10
2021-09-23,736.478,500,Cal,0,0,42,30,17,10
2021-09-24,756.506,500,Cal,0,0,46,30,19,10
2021-09-25,918.85,500,Cal,0,0,49,30,19,10
2021-09-26,723.442,500,Cal,0,0,19,30,18,10
2021-09-27,781.687,500,Cal,0,0,63,30,16,10
2021-09-28,714.075,500,Cal,0,0,38,30,16,10
2021-09-29,702.883,500,Cal,0,0,52,30,17,10
2021-09-30,756.463,500,Cal,0,0,45,30,16,10
2021-10-01,898.775,500,Cal,0,0,84,30,17,10
2021-10-02,856.278,500,Cal,0,0,47,30,16,10
2021-10-03,765.581,500,Cal,0,0,30,30,18,10
2021-10-04,769.852,500,Cal,0,0,63,30,15,10
2021-10-05,679.593,500,Cal,0,0,43,30,14,10
2021-10-06,799.978,500,Cal,0,0,59,30,19,10
2021-10-07,779.334,500,Cal,0,0,43,30,19,10
2021-10-08,667.953,500,Cal,0,0,40,30,18,10
2021-10-09,1106.41,500,Cal,0,0,108,30,15,10
2021-10-10,645.213,500,Cal,0,0,49,30,16,10
2021-10-11,755.455,500,Cal,0,0,49,30,15,10
2021-10-12,756.82,500,Cal,0,0,53,30,16,10
2021-10-13,780.85,500,Cal,0,0,41,30,16,10
2021-10-14,926.491,500,Cal,0,0,62,30,18,10
2021-10-15,804.762,500,Cal,0,0,58,30,15,10
2021-10-16,871.796,500,Cal,0,0,74,30,16,10
2021-10-17,850.473,500,Cal,0,0,82,30,15,10
2021-10-18,792.118,500,Cal,0,0,71,30,16,10
2021-10-19,644.435,500,Cal,0,0,50,30,16,10
2021-10-20,694.749,500,Cal,0,0,47,30,15,10
2021-10-21,1321.85,500,Cal,0,0,146,30,15,10
2021-10-22,1156.63,500,Cal,0,0,67,30,18,10
2021-10-23,1074.64,500,Cal,0,0,87,30,12,10
2021-10-24,577.157,500,Cal,0,0,22,30,13,10
2021-10-25,701.161,500,Cal,0,0,53,30,18,10
2021-10-26,723.819,500,Cal,0,0,44,30,15,10
2021-10-27,728.332,500,Cal,0,0,61,30,19,10
2021-10-28,935.502,500,Cal,0,0,85,30,16,10
2021-10-29,710.013,500,Cal,0,0,50,30,17,10
2021-10-30,947.469,500,Cal,0,0,70,30,14,10
2021-10-31,763.347,500,Cal,0,0,65,30,15,10
2021-11-01,846.212,500,Cal,0,0,68,30,17,10
2021-11-02,658.396,500,Cal,0,0,30,30,14,10
2021-11-03,704.952,500,Cal,0,0,66,30,15,10
2021-11-04,814.832,500,Cal,0,0,95,30,17,10
2021-11-05,777.017,500,Cal,0,0,73,30,15,10
2021-11-06,1028.92,500,Cal,0,0,110,30,14,10
2021-11-07,952.936,500,Cal,0,0,68,30,16,10
2021-11-08,761.867,500,Cal,0,0,67,30,15,10
2021-11-09,760.883,500,Cal,0,0,66,30,17,10
2021-11-10,670.846,500,Cal,0,0,48,30,16,10
2021-11-11,1025.14,500,Cal,0,0,116,30,16,10
2021-11-12,667.426,500,Cal,0,0,36,30,17,10
2021-11-13,1008.53,500,Cal,0,0,70,30,14,10
2021-11-14,799.678,500,Cal,0,0,28,30,17,10
2021-11-15,739.299,500,Cal,0,0,71,30,15,10
2021-11-16,724.166,500,Cal,0,0,51,30,18,10
2021-11-17,844.952,500,Cal,0,0,65,30,15,10
2021-11-18,918.324,500,Cal,0,0,62,30,17,10
2021-11-19,744.309,500,Cal,0,0,65,30,18,10
2021-11-20,930.609,500,Cal,0,0,65,30,18,10
2021-11-21,790.064,500,Cal,0,0,67,30,16,10
2021-11-22,612.774,500,Cal,0,0,40,30,13,10
2021-11-23,669.011,500,Cal,0,0,56,30,15,10
2021-11-24,664.854,500,Cal,0,0,33,30,18,10
2021-11-25,946.157,500,Cal,0,0,70,30,17,10
2021-11-26,973.378,500,Cal,0,0,100,30,16,10
2021-11-27,960.438,500,Cal,0,0,83,30,17,10
2021-11-28,678.633,500,Cal,0,0,39,30,17,10
2021-11-29,819.112,500,Cal,0,0,93,30,19,10
2021-11-30,685.409,500,Cal,0,0,53,30,14,10
2021-12-01,796.48,500,Cal,0,0,85,30,17,10
2021-12-02,804.226,500,Cal,0,0,60,30,17,10
2021-12-03,722.176,500,Cal,0,0,57,30,17,10
2021-12-04,977.334,500,Cal,0,0,78,30,17,10
2021-12-05,670.598,500,Cal,0,0,60,30,15,10
2021-12-06,904.706,500,Cal,0,0,78,30,16,10
2021-12-07,715.372,500,Cal,0,0,51,30,19,10
2021-12-08,762.179,500,Cal,0,0,69,30,15,10
2021-12-09,847.004,500,Cal,0,0,87,30,18,10
2021-12-10,781.646,500,Cal,0,0,48,30,16,10
2021-12-11,1047.16,500,Cal,0,0,97,30,18,10
2021-12-12,610.148,500,Cal,0,0,54,30,16,10
2021-12-13,651.721,500,Cal,0,0,54,30,17,10
2021-12-14,671.817,500,Cal,0,0,50,30,16,10
2021-12-15,821,500,Cal,0,0,77,30,18,10
2021-12-16,771.272,500,Cal,0,0,62,30,17,10
2021-12-17,770.557,500,Cal,0,0,65,30,15,10
2021-12-18,868.019,500,Cal,0,0,89,30,15,10
2021-12-19,657.706,500,Cal,0,0,36,30,16,10
2021-12-20,701.912,500,Cal,0,0,41,30,18,10
2021-12-21,813.979,500,Cal,0,0,74,30,18,10
2021-12-22,651.605,500,Cal,0,0,36,30,17,10
2021-12-23,763.071,500,Cal,0,0,71,30,17,10
2021-12-24,843.514,500,Cal,0,0,107,30,16,10
2021-12-25,795.713,500,Cal,0,0,68,30,15,10
2021-12-26,1219.81,500,Cal,0,0,145,30,16,10
2021-12-27,693.381,500,Cal,0,0,41,30,16,10
